arabic_vote,thai_vote,party_name,filename
334,สามร้อยสามสิบสี่,ประชาชน,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_7__constituency_vote_page_1.md
330,สามร้อยสามสิบ,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_3__constituency_vote_page_1.md
329,สามร้อยยี่สิบเก้า,ประชาชน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_5__constituency_vote_page_1.md
329,,เป็นธรรม,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_17__party_list_vote_page_3.md
327,สามร้อยยี่สิบเจ็ด,ประชาชน,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_10__party_list_vote_page_3.md
325,สามร้อยสองสิบห้า,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_18__party_list_vote_page_3.md
325,สามร้อยยี่สิบห้า,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_8__constituency_vote_page_1.md
324,สามร้อยสี่สิบสี่,ประชาชน,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_8__constituency_vote_page_1.md
324,สามร้อยสี่สิบสี่,ประชาชน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_3__constituency_vote_page_1.md
324,สามร้อยยี่สิบสี่,ประชาชน,district_mueang_lamphun__12_subdistrict_umong__polling_unit_7__constituency_vote_page_1.md
323,สามสองสาม,ประธาน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_6__constituency_vote_page_1.md
323,สามร้อยยี่สิบสาม,เพื่อบ้านเมือง,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_13__party_list_vote_page_3.md
321,สามร้อยยี่สิบเอ็ด,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_11__constituency_vote_page_1.md
321,สามร้อยยี่สิบเอ็ด,ประชาชน,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_8__party_list_vote_page_3.md
320,สามร้อยสองสิบ,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_18__constituency_vote_page_1.md
320,สามร้อยยี่สิบ,ประชาชน,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_7__party_list_vote_page_3.md
319,สามร้อยสิบเก้า,ประชาชน,district_mueang_lamphun__12_subdistrict_umong__polling_unit_7__party_list_vote_page_3.md
317,สามร้อยสิบเจ็ด,ประชาชน,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_7__constituency_vote_page_1.md
316,สามร้อยหนึ่งสิบหก,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_11__party_list_vote_page_3.md
315,หนึ่งร้อยสี่สิบห้าสามสิบ,ประชาชน,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_5__constituency_vote_page_1.md
315,สามร้อยสิบห้า,ประชาชน,district_mueang_lamphun__10_subdistrict_pratu_pa__polling_unit_4__constituency_vote_page_1.md
313,สามร้อยสิบสาม,ประชาชน,district_mueang_lamphun__12_subdistrict_umong__polling_unit_13__constituency_vote_page_1.md
312,สามร้อยสิบสอง,พลังไทยรักชาติ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_10__party_list_vote_page_3.md
312,สามร้อยสิบสอง,ประชาชน,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_3__constituency_vote_page_1.md
311,สามร้อยสิบเอ็ด,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_13__constituency_vote_page_1.md
310,สี่พันหนึ่งร้อยเก้าสิบ,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_1__party_list_vote_page_3.md
310,สามร้อยสิบ,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_14__constituency_vote_page_1.md
309,สามร้อยเก้า,ประชาชน,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_9__party_list_vote_page_3.md
308,สามร้อยแปดสิบแปด,ประชาชน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_14__constituency_vote_page_1.md
307,สีฟ้าสองเจ็ด,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_8__party_list_vote_page_3.md
307,สามร้อยเจ็ด,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_3__party_list_vote_page_3.md
307,สามร้อยเจ็ด,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_8__constituency_vote_page_1.md
307,สามร้อยเจ็ด,ประชาชน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_18__constituency_vote_page_1.md
307,สามร้อยเจ็ด,ประชาชน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_5__party_list_vote_page_3.md
306,สามร้อยหก,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_15__constituency_vote_page_1.md
305,สามร้อยห้า,ประชาชน,district_mueang_lamphun__12_subdistrict_umong__polling_unit_13__party_list_vote_page_3.md
303,สามร้อยสาม,วิชช์ชนใหม่,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_8__constituency_vote_page_1.md
303,สามร้อยสาม,ประชาชน,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_7__party_list_vote_page_3.md
303,สามพันยี่สาม,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_6__party_list_vote_page_3.md
303,ศูนย์สามร้อยสาม,ประชาชน,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_8__party_list_vote_page_3.md
301,สามร้อยเก้า,ประชาชน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_3__party_list_vote_page_3.md
301,สามร้อยหนึ่งสิบแน่น,ประชาชน,district_mueang_lamphun__15_office_ban_paen__polling_unit_3__constituency_vote_page_1.md
300,สามร้อย,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_16__party_list_vote_page_3.md
297,สองร้อยเก้าสิบเจ็ด,ประชาชน,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_3__party_list_vote_page_3.md
297,สองร้อยเก้าสิบเจ็ด,ประชาชน,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_4__constituency_vote_page_1.md
295,สองร้อยเก้าสิบห้า,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_12__constituency_vote_page_1.md
295,สองร้อยเก้าสิบห้า,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_2__party_list_vote_page_3.md
295,สองร้อยเก้าสิบห้า,ประชาชน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_3__constituency_vote_page_1.md
294,สองว้อยเก้าสิบสี่,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_11__party_list_vote_page_3.md
293,สองร้อยสี่สิบสาม,ประชาชน,district_mueang_lamphun__12_subdistrict_umong__polling_unit_8__constituency_vote_page_1.md
292,สองร้อยเก้าสิบสอง,ประชาชน,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_14__constituency_vote_page_1.md
292,สองร้อยเก้าสิบสอง,ประชาชน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_3__party_list_vote_page_3.md
291,สองร้อยเก้าสิบเอ็ด,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_13__party_list_vote_page_3.md
